speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean
Barack Obama,"Theres no doubt itâ€™s gonna affect our budgets. There is no doubt about it. Not only — Even if we get all $700 billion back, lets assume the markets recover, were holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit. If were lucky and we do it right, that could potentially happen but in the short term theres an outlay and we may not see that money for a while. And because of the economys slowing down, I think we can also expect less tax revenue so theres no doubt that as president Im going to have to make some tough decision. The only point I want to make is this, that in order to make those tough decisions we have to know what our values are and who were fighting for and what our priorities are and if we are spending $300 billion on tax cuts for people who dont need them and werent even asking for them, and we are leaving out health care which is crushing on people all across the country, then I think we have made a bad decision and I want to make sure were not shortchanging our long term priorities.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"Well, I want to make sure were not handing the health care system over to the federal government which is basically what would ultimately happen with Senator Obamas health care plan. I want the families to make decisions between themselves and their doctors. Not the federal government. Look. We have to obviously cut spending. I have fought to cut spending. Senator Obama has $800 billion in new spending programs. I would suggest he start by canceling some of those new spending program that he has. We cant I think adjust spending around to take care of the very much needed programs, including taking care of our veterans but I also want to say again a healthy economy with low taxes would not raising anyones taxes is probably the best recipe for eventually having our economy recover. And spending restraint has got to be a vital part of that. And the reason, one of the major reasons why were in the difficulties we are in today is because spending got out of control. We owe China $500 billion. And spending, I know, can be brought under control because I have fought against excessive spending my entire career. And I got plans to reduce and eliminate unnecessary and wasteful spending and if theres anybody here who thinks there arent agencies of government where spending can be cut and their budgets slashed they have not spent a lot of time in Washington.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"I just want to make this point, Jim. John, its been your president who you said you agreed with 90 percent of the time who presided over this increase in spending. This orgy of spending and enormous deficits you voted for almost all of his budgets. So to stand here and after eight years and say that youre going to lead on controlling spending and, you know, balancing our tax cuts so that they help middle class families when over the last eight years that hasnt happened I think just is, you know, kind of hard to swallow.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Quick response to Senator Obama.,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Its well- known that I have not been elected Miss Congeniality in the United States Senate nor with the administration. I have opposed the president on spending, on climate change, on torture of prisoner, on – on Guantanamo Bay. On a — on the way that the Iraq War was conducted. I have a long record and the American people know me very well and that is independent and a maverick of the Senate and Im happy to say that Ive got a partner thats a good maverick along with me now.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"All right. Lets go another subject. Lead question, two minutes to you, senator McCain. Much has been said about the lessons of Vietnam. What do you see as the lessons of Iraq?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"I think the lessons of Iraq are very clear that you cannot have a failed strategy that will then cause you to nearly lose a conflict. Our initial military success, we went in to Baghdad and everybody celebrated. And then the war was very badly mishandled. I went to Iraq in 2003 and came back and said, weve got to change this strategy. This strategy requires additional troops, it requires a fundamental change in strategy and I fought for it. And finally, we came up with a great general and a strategy that has succeeded. This strategy has succeeded. And we are winning in Iraq. And we will come home with victory and with honor. And that withdrawal is the result of every counterinsurgency that succeeds.",Pres,2008,2008-09-26,1,What lessons can be learned from the conflict in Iraq regarding military strategy and troop deployment?,"All right. Lets go another subject. Lead question, two minutes to you, senator McCain. Much has been said about the lessons of Vietnam. What do you see as the lessons of Iraq?",0.9261708855628967,0.9446890354156494,0.8871597647666931,0.742962658405304,Republican,What changes in strategy were necessary to succeed in Iraq?
John McCain,"And I want to tell you that now that we will succeed and our troops will come home, and not in defeat, that we will see a stable ally in the region and a fledgling democracy. The consequences of defeat would have been increased Iranian influence. It would have been increase in sectarian violence. It would have been a wider war, which the United States of America might have had to come back. So there was a lot at stake there. And thanks to this great general, David Petraeus, and the troops who serve under him, they have succeeded. And we are winning in Iraq, and we will come home. And we will come home as we have when we have won other wars and not in defeat.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Two minutes, how you see the lessons of Iraq, Senator Obama.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, this is an area where Senator McCain and I have a fundamental difference because I think the first question is whether we should have gone into the war in the first place. Now six years ago, I stood up and opposed this war at a time when it was politically risky to do so because I said that not only did we not know how much it was going to cost, what our exit strategy might be, how it would affect our relationships around the world, and whether our intelligence was sound, but also because we hadnt finished the job in Afghanistan. We hadnt caught bin Laden. We hadnt put al Qaeda to rest, and as a consequence, I thought that it was going to be a distraction. Now Senator McCain and President Bush had a very different judgment. And I wish I had been wrong for the sake of the country and they had been right, but thats not the case. Weve spent over $600 billion so far, soon to be $1 trillion. We have lost over 4, 000 lives. We have seen 30, 000 wounded, and most importantly, from a strategic national security perspective, al Qaeda is resurgent, stronger now than at any time since 2001. We took our eye off the ball. And not to mention that we are still spending $10 billion a month, when they have a $79 billion surplus, at a time when we are in great distress here at home, and we just talked about the fact that our budget is way overstretched and we are borrowing money from overseas to try to finance just some of the basic functions of our government. So I think the lesson to be drawn is that we should never hesitate to use military force, and I will not, as president, in order to keep the American people safe. But we have to use our military wisely. And we did not use our military wisely in Iraq.",Pres,2008,2008-09-26,1,"What are the consequences of the decision to go to war in Iraq, and how should military force be used more wisely in the future?","All right. Lets go another subject. Lead question, two minutes to you, senator McCain. Much has been said about the lessons of Vietnam. What do you see as the lessons of Iraq?",0.8924509286880493,0.9337605834007263,0.8223410844802856,0.5803970098495483,Democratic,Should we have gone into the war in Iraq in the first place?
Jim Lehrer,"Do you agree with that, the lesson of Iraq?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"The next president of the United States is not going to have to address the issue as to whether we went into Iraq or not. The next president of the United States is going to have to decide how we leave, when we leave, and what we leave behind. Thats the decision of the next president of the United States. Senator Obama said the surge could not work, said it would increase sectarian violence, said it was doomed to failure. Recently on a television program, he said it exceed our wildest expectations. But yet, after conceding that, he still says that he would oppose the surge if he had to decide that again today. Incredibly, incredibly Senator Obama didnt go to Iraq for 900 days and never asked for a meeting with General Petraeus.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Well, lets go at some of these things…",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Senator Obama is the chairperson of a committee that oversights NATO thats in Afghanistan. To this day, he has never had a hearing.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,What about that point?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"I mean, its remarkable.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,All right. What about that point?,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,Which point? He raised a whole bunch of them.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"I know, ok, lets go to the latter point and well back up. The point about your not having been…",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Look, Im very proud of my vice presidential selection, Joe Biden, who is the chairman of the Senate Foreign Relations Committee, and as he explains, and as John well knows, the issues of Afghanistan, the issues of Iraq, critical issues like that, dont go through my subcommittee because theyre done as a committee as a whole. But thats Senate inside baseball. But lets get back to the core issue here. Senator McCain is absolutely right that the violence has been reduced as a consequence of the extraordinary sacrifice of our troops and our military families. They have done a brilliant job, and General Petraeus has done a brilliant job. But understand, that was a tactic designed to contain the damage of the previous four years of mismanagement of this war. And so John likes — John, you like to pretend like the war started in 2007. You talk about the surge. The war started in 2003, and at the time when the war started, you said it was going to be quick and easy. You said we knew where the weapons of mass destruction were. You were wrong. You said that we were going to be greeted as liberators. You were wrong. You said that there was no history of violence between Shia and Sunni. And you were wrong. And so my question is… (CROSSTALK)",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,Senator Obama…,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"… of judgment, of whether or not — of whether or not — if the question is who is best- equipped as the next president to make good decisions about how we use our military, how we make sure that we are prepared and ready for the next conflict, then I think we can take a look at our judgment.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,I have got a lot on the plate here…,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Im afraid Senator Obama doesnt understand the difference between a tactic and a strategy. But the important — Id like to tell you, two Fourths of July ago I was in Baghdad. General Petraeus invited Senator Lindsey Graham and me to attend a ceremony where 688 brave young Americans, whose enlistment had expired, were reenlisting to stay and fight for Iraqi freedom and American freedom. I was honored to be there. I was honored to speak to those troops. And you know, afterwards, we spent a lot of time with them. And you know what they said to us? They said, let us win. They said, let us win. We dont want our kids coming back here. And this strategy, and this general, they are winning. Senator Obama refuses to acknowledge that we are winning in Iraq.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,Thats not true.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,They just passed an electoral…,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,Thats not true.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"An election law just in the last few days. There is social, economic progress, and a strategy, a strategy of going into an area, clearing and holding, and the people of the country then become allied with you. They inform on the bad guys. And peace comes to the country, and prosperity. Thats whats happening in Iraq, and it wasnt a tactic.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,Let me see…,Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Jim, Jim, this is a big…",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"It was a strategy. And that same strategy will be employed in Afghanistan by this great general. And Senator Obama, who after promising not to vote to cut off funds for the troops, did the incredible thing of voting to cut off the funds for the troops in Iraq and Afghanistan.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Jim, there are a whole bunch of things we have got to answer. First of all, lets talk about this troop funding issue because John always brings this up. Senator McCain cut — Senator McCain opposed funding for troops in legislation that had a timetable, because he didnt believe in a timetable. I opposed funding a mission that had no timetable, and was open- ended, giving a blank check to George Bush. We had a difference on the timetable. We didnt have a difference on whether or not we were going to be funding troops. We had a legitimate difference, and I absolutely understand the difference between tactics and strategy. And the strategic question that the president has to ask is not whether or not we are employing a particular approach in the country once we have made the decision to be there. The question is, was this wise? We have seen Afghanistan worsen, deteriorate. We need more troops there. We need more resources there. Senator McCain, in the rush to go into Iraq, said, you know what? Weve been successful in Afghanistan. There is nobody who can pose a threat to us there. This is a time when bin Laden was still out, and now theyve reconstituted themselves. Secretary of Defense Robert Gates himself acknowledges the war on terrorism started in Afghanistan and it needs to end there. But we cant do it if we are not willing to give Iraq back its country. Now, what Ive said is we should end this war responsibly. We should do it in phases. But in 16 months we should be able to reduce our combat troops, put — provide some relief to military families and our troops and bolster our efforts in Afghanistan so that we can capture and kill bin Laden and crush al Qaeda. And right now, the commanders in Afghanistan, as well as Admiral Mullen, have acknowledged that we dont have enough troops to deal with Afghanistan because we still have more troops in Iraq than we did before the surge.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,Admiral Mullen suggests that Senator Obamas plan is dangerous for America.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,Thats not the case.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,Thats what …,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,What he said was a precipitous…,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,Thats what Admiral Mullen said.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,… withdrawal would be dangerous. He did not say that. Thats not true.,Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"And also General Petraeus said the same thing. Osama bin Laden and General Petraeus have one thing in common that I know of, they both said that Iraq is the central battleground. Now General Petraeus has praised the successes, but he said those successes are fragile and if we set a specific date for withdrawal — and by the way, Senator Obamas original plan, they would have been out last spring before the surge ever had a chance to succeed. And Im — Im — understand why Senator Obama was surprised and said that the surge succeeded beyond his wildest expectations.",Pres,2008,2008-09-26,1,,,,,,,Republican,
John McCain,"It didnt exceed beyond mine, because I know that thats a strategy that has worked and can succeed. But if we snatch defeat from the jaws of victory and adopt Senator Obamas plan, then we will have a wider war and it will make things more complicated throughout the region, including in Afghanistan.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"Afghanistan, lead — a new — a new lead question. Now, having resolved Iraq, well move to Afghanistan. (LAUGHTER) And it goes to you, Senator Obama, and its a — it picks up on a point thats already been made. Do you think more troops — more U. S. troops should be sent to Afghanistan, how many, and when?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Yes, I think we need more troops. Ive been saying that for over a year now. And I think that we have to do it as quickly as possible, because its been acknowledged by the commanders on the ground the situation is getting worse, not better. We had the highest fatalities among U. S. troops this past year than at any time since 2002. And we are seeing a major offensive taking place — Al Qaida and Taliban crossing the border and attacking our troops in a brazen fashion. They are feeling emboldened. And we cannot separate Afghanistan from Iraq, because what our commanders have said is we dont have the troops right now to deal with Afghanistan. So I would send two to three additional brigades to Afghanistan. Now, keep in mind that we have four times the number of troops in Iraq, where nobody had anything to do with 9/11 before we went in, where, in fact, there was no Al Qaida before we went in, but we have four times more troops there than we do in Afghanistan. And that is a strategic mistake, because every intelligence agency will acknowledge that Al Qaida is the greatest threat against the United States and that Secretary of Defense Gates acknowledged the central front — that the place where we have to deal with these folks is going to be in Afghanistan and in Pakistan. So heres what we have to do comprehensively, though. Its not just more troops. We have to press the Afghan government to make certain that they are actually working for their people. And Ive said this to President Karzai. Number two, weve got to deal with a growing poppy trade that has exploded over the last several years. Number three, weve got to deal with Pakistan, because Al Qaida and the Taliban have safe havens in Pakistan, across the border in the northwest regions, and although, you know, under George Bush, with the support of Senator McCain, weve been giving them $10 billion over the last seven years, they have not done what needs to be done to get rid of those safe havens. And until we do, Americans here at home are not going to be safe.",Pres,2008,2008-09-26,1,What changes need to be made in U.S. military strategy to effectively address the threats in Afghanistan and Pakistan?,"Afghanistan, lead — a new — a new lead question. Now, having resolved Iraq, well move to Afghanistan. (LAUGHTER) And it goes to you, Senator Obama, and its a — it picks up on a point thats already been made. Do you think more troops — more U. S. troops should be sent to Afghanistan, how many, and when?",0.9407777190208435,0.9446109533309937,0.8914616107940674,0.6273074150085449,Democratic,Do we need more troops in Afghanistan to address the growing threat from Al Qaida and the Taliban?
Jim Lehrer,"Afghanistan, Senator McCain?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"First of all, I wont repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region. And the result over time was the Taliban, Al Qaida, and a lot of the difficulties we are facing today. So we cant ignore those lessons of history. Now, on this issue of aiding Pakistan, if youre going to aim a gun at somebody, George Shultz, our great secretary of state, told me once, youd better be prepared to pull the trigger. Im not prepared at this time to cut off aid to Pakistan. So Im not prepared to threaten it, as Senator Obama apparently wants to do, as he has said that he would announce military strikes into Pakistan. Weve got to get the support of the people of — of Pakistan. He said that he would launch military strikes into Pakistan. Now, you dont do that. You dont say that out loud. If you have to do things, you have to do things, and you work with the Pakistani government. Now, the new president of Pakistan, Kardari (sic) , has got his hands full. And this area on the border has not been governed since the days of Alexander the Great. Ive been to Waziristan. I can see how tough that terrain is. Its ruled by a handful of tribes. And, yes, Senator Obama calls for more troops, but what he doesnt understand, its got to be a new strategy, the same strategy that he condemned in Iraq. Its going to have to be employed in Afghanistan. And were going to have to help the Pakistanis go into these areas and obtain the allegiance of the people. And its going to be tough. Theyve intermarried with Al Qaida and the Taliban. And its going to be tough. But we have to get the cooperation of the people in those areas. And the Pakistanis are going to have to understand that that bombing in the Marriott Hotel in Islamabad was a signal from the terrorists that they dont want that government to cooperate with us in combating the Taliban and jihadist elements. So weve got a lot of work to do in Afghanistan. But Im confident, now that General Petraeus is in the new position of command, that we will employ a strategy which not only means additional troops — and, by the way, there have been 20, 000 additional troops, from 32, 000 to 53, 000, and there needs to be more. So its not just the addition of troops that matters. Its a strategy that will succeed. And Pakistan is a very important element in this. And I know how to work with them. And I guarantee you I would not publicly state that Im going to attack them.",Pres,2008,2008-09-26,1,What is the appropriate strategy for the United States to address the challenges in Afghanistan and its relationship with Pakistan?,"Afghanistan, lead — a new — a new lead question. Now, having resolved Iraq, well move to Afghanistan. (LAUGHTER) And it goes to you, Senator Obama, and its a — it picks up on a point thats already been made. Do you think more troops — more U. S. troops should be sent to Afghanistan, how many, and when?",0.9259734153747559,0.940087616443634,0.8554857969284058,0.7130604982376099,Republican,How do you plan to obtain the cooperation of the Pakistani people in combating the Taliban and jihadist elements?
Barack Obama,"Nobody talked about attacking Pakistan. Heres what I said. And if John wants to disagree with this, he can let me know, that, if the United States has Al Qaida, bin Laden, top- level lieutenants in our sights, and Pakistan is unable or unwilling to act, then we should take them out. Now, I think thats the right strategy; I think thats the right policy. And, John, I — youre absolutely right that presidents have to be prudent in what they say. But, you know, coming from you, who, you know, in the past has threatened extinction for North Korea and, you know, sung songs about bombing Iran, I dont know, you know, how credible that is. I think this is the right strategy. Now, Senator McCain is also right that its difficult. This is not an easy situation. Youve got cross- border attacks against U. S. troops. And weve got a choice. We could allow our troops to just be on the defensive and absorb those blows again and again and again, if Pakistan is unwilling to cooperate, or we have to start making some decisions. And the problem, John, with the strategy thats been pursued was that, for 10 years, we coddled Musharraf, we alienated the Pakistani population, because we were anti- democratic. We had a 20th- century mindset that basically said, “Well, you know, he may be a dictator, but hes our dictator. ” And as a consequence, we lost legitimacy in Pakistan. We spent $10 billion. And in the meantime, they werent going after Al Qaida, and they are more powerful now than at any time since we began the war in Afghanistan. Thats going to change when Im president of the United States.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,"I — I dont think that Senator Obama understands that there was a failed state in Pakistan when Musharraf came to power. Everybody who was around then, and had been there, and knew about it knew that it was a failed state. But let me tell you, you know, this business about bombing Iran and all that, let me tell you my record. Back in 1983, when I was a brand- new United States congressman, the one — the person I admired the most and still admire the most, Ronald Reagan, wanted to send Marines into Lebanon. And I saw that, and I saw the situation, and I stood up, and I voted against that, because I was afraid that they couldnt make peace in a place where 300 or 400 or several hundred Marines would make a difference. Tragically, I was right; Nearly 300 Marines lost their lives in the bombing of the barracks. And then we had Somalia — then we had the first Gulf War. I supported — I supported that. I supported us going into Bosnia, when a number of my own party and colleagues was against that operation in Bosnia. That was the right thing to do, to stop genocide and to preserve what was necessary inside of Europe. I supported what we did in Kosovo. I supported it because ethnic cleansing and genocide was taking place there. And I have a record — and Somalia, I opposed that we should turn — turn the force in Somalia from a peacekeeping force into a peacemaking force, which they were not capable of. So I have a record. I have a record of being involved in these national security issues, which involve the highest responsibility and the toughest decisions that any president can make, and that is to send our young men and women into harms way. And Ill tell you, I had a town hall meeting in Wolfeboro, New Hampshire, and a woman stood up and she said, “Senator McCain, I want you to do me the honor of wearing a bracelet with my sons name on it. ” He was 22 years old and he was killed in combat outside of Baghdad, Matthew Stanley, before Christmas last year. This was last August, a year ago. And I said, “I will — I will wear his bracelet with honor. ” And this was August, a year ago. And then she said, “But, Senator McCain, I want you to do everything — promise me one thing, that youll do everything in your power to make sure that my sons death was not in vain. ” That means that that mission succeeds, just like those young people who re- enlisted in Baghdad, just like the mother I met at the airport the other day whose son was killed. And they all say to me that we dont want defeat. I know what thatâ€™s like when an army is defeated.",Pres,2008,2008-09-26,1,,,,,,,Republican,
John McCain,"A war that I was in, where we had an Army, that it wasnt through any fault of their own, but they were defeated. And I know how hard it is for that — for an Army and a military to recover from that. And it did and we will win this one and we wont come home in defeat and dishonor and probably have to go back if we fail.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"Jim, let me just make a point. Ive got a bracelet, too, from Sergeant – from the mother of Sergeant Ryan David Jopeck (ph) , given to me in green bay. She asked me, can you please make sure another mother is not going through what Im going through. No U. S. soldier ever dies in vain because theyre carrying out the missions of their commander in chief. And we honor all the service that theyve provided. Our troops have performed brilliantly. The question is for the next president, are we making good judgments about how to keep America safe precisely because sending our military into battle is such an enormous step. And the point that I originally made is that we took our eye off Afghanistan, we took our eye off the folks who perpetrated 9/11, they are still sending out videotapes and Senator McCain, nobody is talking about defeat in Iraq, but I have to say we are having enormous problems in Afghanistan because of that decision. And it is not true you have consistently been concerned about what happened in Afghanistan. At one point, while you were focused on Iraq, you said well, we can “muddle through” Afghanistan. You dont muddle through the central front on terror and you dont muddle through going after bin Laden. You dont muddle through stamping out the Taliban. I think that is something we have to take seriously. And when Im president, I will.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,New …,Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"You might think that with that kind of concern that Senator Obama would have gone to Afghanistan, particularly given his responsibilities as a subcommittee chairman. By the way, when Im subcommittee chairman, we take up the issues under my subcommittee. But the important thing is — the important thing is I visited Afghanistan and I traveled to Waziristan and I traveled to these places and I know what our security requirements are. I know what our needs are. So the point is that we will prevail in Afghanistan, but we need the new strategy and we need it to succeed. But the important thing is, if we suffer defeat in Iraq, which General Petraeus predicts we will, if we adopted Senator Obamas set date for withdrawal, then that will have a calamitous effect in Afghanistan and American national security interests in the region. Senator Obama doesnt seem to understand there is a connected between the two.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Jim Lehrer,"I have some good news and bad news for the two of you. You all are even on time, which is remarkable, considering weve been going at it …",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"A testimony to you, Jim.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"I dont know about that. But the bad news is all my little five minute things have run over, so, anyhow, well adjust as we get there. But the amount of time is even. New lead question. And it goes two minutes to you, Senator McCain, what is your reading on the threat from Iran right now to the security of the United States?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"My reading of the threat from Iran is that if Iran acquires nuclear weapons, it is an existential threat to the State of Israel and it is a threat to other countries in the region because the other countries in the region will feel compelling requirement to acquire nuclear weapons as well. Now we cannot allow a second Holocaust. Lets just make that very clear. What I have proposed for a long time, and Ive had conversation with foreign leaders about forming a league of democracies, lets be clear and lets have some straight talk. The Russians are preventing significant action in the United Nations Security Council. I have proposed a league of democracies, a group of people – a group of countries that share common interests, common values, common ideals, they also control a lot of the worlds economic power. We could impose significant meaningful, painful sanctions on the Iranians that I think could have a beneficial effect. The Iranians have a lousy government, so therefore their economy is lousy, even though they have significant oil revenues. So I am convinced that together, we can, with the French, with the British, with the Germans and other countries, democracies around the world, we can affect Iranian behavior. But have no doubt, but have no doubt that the Iranians continue on the path to the acquisition of a nuclear weapon as we speak tonight. And it is a threat not only in this region but around the world. What Id also like to point out the Iranians are putting the most lethal IEDs into Iraq which are killing young Americans, there are special groups in Iran coming into Iraq and are being trained in Iran. There is the Republican Guard in Iran, which Senator Kyl had an amendment in order to declare them a sponsor of terror. Senator Obama said that would be provocative. So this is a serious threat. This is a serious threat to security in the world, and I believe we can act and we can act with our friends and allies and reduce that threat as quickly as possible, but have no doubt about the ultimate result of them acquiring nuclear weapons.",Pres,2008,2008-09-26,1,"What is the potential threat posed by Iran acquiring nuclear weapons, and what actions can be taken to mitigate this threat?","New lead question. And it goes two minutes to you, Senator McCain, what is your reading on the threat from Iran right now to the security of the United States?",0.9489285945892334,0.949606716632843,0.9084845781326294,0.850727915763855,Republican,What is the threat to Israel and other countries if Iran acquires nuclear weapons?
Jim Lehrer,"Two minutes on Iran, Senator Obama.",Pres,2008,2008-09-26,0,,,,,,,Moderator,
Barack Obama,"Well, let me just correct something very quickly. I believe the Republican Guard of Iran is a terrorist organization. Ive consistently said so. What Senator McCain refers to is a measure in the Senate that would try to broaden the mandate inside of Iraq. To deal with Iran. And ironically, the single thing that has strengthened Iran over the last several years has been the war in Iraq. Iraq was Irans mortal enemy. That was cleared away. And what weve seen over the last several years is Irans influence grow. They have funded Hezbollah, they have funded Hamas, they have gone from zero centrifuges to 4, 000 centrifuges to develop a nuclear weapon. So obviously, our policy over the last eight years has not worked. Senator McCain is absolutely right, we cannot tolerate a nuclear Iran. It would be a game changer. Not only would it threaten Israel, a country that is our stalwart ally, but it would also create an environment in which you could set off an arms race in this Middle East. Now heres what we need to do. We do need tougher sanctions. I do not agree with Senator McCain that were going to be able to execute the kind of sanctions we need without some cooperation with countries like Russia and China that are, I think Senator McCain would agree, not democracies, but have extensive trade with Iran but potentially have an interest in making sure Iran doesnt have a nuclear weapon. But we are also going to have to, I believe, engage in tough direct diplomacy with Iran and this is a major difference I have with Senator McCain, this notion that by not talking to people we are punishing them has not worked. It has not worked in Iran, it has not worked in North Korea. In each instance, our efforts at isolation have actually accelerated their efforts to get nuclear weapons. That will change when Im president of the United States.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Jim Lehrer,"Senator, what about talking?",Pres,2008,2008-09-26,0,,,,,,,Moderator,
John McCain,"Senator Obama twice said in debates he would sit down with Ahmadinejad, Chavez and Raul Castro without precondition. Without precondition. Here is Ahmadinenene (ph) , Ahmadinejad, who is, Ahmadinejad, who is now in New York, talking about the extermination of the State of Israel, of wiping Israel off the map, and were going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of Israel, and therefore then giving them more credence in the world arena and therefore saying, theyve probably been doing the right thing, because you will sit down across the table from them and that will legitimize their illegal behavior. The point is that throughout history, whether it be Ronald Reagan, who wouldnt sit down with Brezhnev, Andropov or Chernenko until Gorbachev was ready with glasnost and perestroika. Or whether it be Nixons trip to China, which was preceded by Henry Kissinger, many times before he went. Look, Ill sit down with anybody, but theres got to be pre- conditions. Those pre- conditions would apply that we wouldnt legitimize with a face to face meeting, a person like Ahmadinejad. Now, Senator Obama said, without preconditions.",Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"So lets talk about this. First of all, Ahmadinejad is not the most powerful person in Iran. So he may not be the right person to talk to. But I reserve the right, as president of the United States to meet with anybody at a time and place of my choosing if I think its going to keep America safe. And Im glad that Senator McCain brought up the history, the bipartisan history of us engaging in direct diplomacy.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
Barack Obama,"Senator McCain mentioned Henry Kissinger, whos one of his advisers, who, along with five recent secretaries of state, just said that we should meet with Iran — guess what — without precondition. This is one of your own advisers. Now, understand what this means “without preconditions. ” It doesnt mean that you invite them over for tea one day. What it means is that we dont do what weve been doing, which is to say, “Until you agree to do exactly what we say, we wont have direct contacts with you. ” Theres a difference between preconditions and preparation. Of course weve got to do preparations, starting with low- level diplomatic talks, and it may not work, because Iran is a rogue regime. But I will point out that I was called naive when I suggested that we need to look at exploring contacts with Iran. And you know what? President Bush recently sent a senior ambassador, Bill Burns, to participate in talks with the Europeans around the issue of nuclear weapons. Again, it may not work, but if it doesnt work, then we have strengthened our ability to form alliances to impose the tough sanctions that Senator McCain just mentioned. And when we havent done it, as in North Korea — let me just take one more example — in North Korea, we cut off talks. Theyre a member of the axis of evil. We cant deal with them. And you know what happened? They went — they quadrupled their nuclear capacity. They tested a nuke. They tested missiles. They pulled out of the nonproliferation agreement. And they sent nuclear secrets, potentially, to countries like Syria. When we re- engaged — because, again, the Bush administration reversed course on this — then we have at least made some progress, although right now, because of the problems in North Korea, we are seeing it on shaky ground. And — and I just — so I just have to make this general point that the Bush administration, some of Senator McCains own advisers all think this is important, and Senator McCain appears resistant. He even said the other day that he would not meet potentially with the prime minister of Spain, because he — you know, he wasnt sure whether they were aligned with us. I mean, Spain? Spain is a NATO ally.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
John McCain,Of course.,Pres,2008,2008-09-26,1,,,,,,,Republican,
Barack Obama,"If we cant meet with our friends, I dont know how were going to lead the world in terms of dealing with critical issues like terrorism.",Pres,2008,2008-09-26,1,,,,,,,Democratic,
