speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit
Moderator,"New subject, new question. Vice President Gore, if President Milosevic of Yugoslavia refuses to accept the election results and leave office, what action, if any, should the United States take to get him out of there?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Well, Milosevic has lost the election. His opponent, Kostunica, has won the election. Its overwhelming. Milosevics government refuses to release the vote count. Theres now a general strike going on. Theyre demonstrating. I think we should support the people of Serbia and Yugoslavia, as they call the Serbia plus Montenegro, and put pressure in every way possible to recognize the lawful outcome of the election. The people of Serbia have acted very bravely in kicking this guy out of office. Now he is trying to not release the votes and then go straight to a so- called runoff election without even announcing the results of the first vote. Now, weve made it clear, along with our allies, that when Milosevic leaves, then Serbia will be able to have a more normal relationship with the rest of the world. That is a very strong incentive that weve given them to do the right thing. Bear in mind also, Milosevic has been indicted as a war criminal and he should be held accountable for his actions. Now, we have to take measured steps because the sentiment within Serbia is, for understandable reasons, against the United States because their nationalism — even if they dont like Milosevic, they still have some feelings lingering from the NATO action there. So we have to be intelligent in the way we go about it. But make no mistake about it, we should do everything we can to see that the will of the Serbian people expressed in this extraordinary election is done. And I hope that hell be out of office very shortly.",Pres,2000,2000-10-03,1,What actions should the international community take to support the outcome of the Serbian election and respond to Milosevic's refusal to recognize it?,"New subject, new question. Vice President Gore, if President Milosevic of Yugoslavia refuses to accept the election results and leave office, what action, if any, should the United States take to get him out of there?",0.9419505596,0.9613465071,0.9092632532,0.8171550035,Democratic,What action should the United States take if President Milosevic of Yugoslavia refuses to accept the election results and leave office?,3,
Moderator,"Governor Bush, one minute.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Well, Im pleased with the results of the election. As the vice president is. Its time for the man to go. It means that the United States must have a strong diplomatic hand with our friends in NATO. Thats why its important to make sure our alliances are as strong as they possibly can be to keep the pressure on Mr. Milosevic. But this will be an interesting moment for the Russians to step up and lead as well. Be a wonderful time for the Russians to step into the Balkans and convince Mr. Milosevic that its in his best interest and his countrys best interest to leave office. The Russians have a lot of sway in that part of the world. We would like to see the Russians use that sway to encourage democracy to take hold. Its an encouraging election. Its time for the man to leave.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"What if he doesnt leave? What if all the diplomatic efforts, all the pressure from all over the world and he still doesnt go? Is this the kind of thing, to be specific, that you as president would consider the use of U. S. military force to get him gone?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"In this particular situation, no. Bear in mind that we have a lot of sanctions in force against Serbia right now. And the people of Serbia know that they can escape all those sanctions if this guy is turned out of power. Now, I understand what the governor has said about asking the Russians to be involved, and under some circumstances that might be a good idea. But being as they have not yet been willing to recognize Kostunica as the lawful winner of the election, Im not sure its right for us to invite the president of Russia to mediate this — this dispute there because we might not like the results that comes out of that. They currently favor going forward with a runoff election. I think thats the wrong thing. I think the governors instinct is not necessarily bad because we have worked with the Russians in a constructive way in Kosovo, for example, to end the conflict there. But I think we need to be very careful in the present situation before we invite the Russians to play the lead role in mediating.",Pres,2000,2000-10-03,1,Should the United States involve Russia in mediating the political situation in Serbia given their lack of recognition of the election results?,"What if he doesnt leave? What if all the diplomatic efforts, all the pressure from all over the world and he still doesnt go? Is this the kind of thing, to be specific, that you as president would consider the use of U. S. military force to get him gone?",0.8870296478,0.9239218235,0.8001513481,0.3485455513,Democratic,Would you consider the use of U.S. military force if diplomatic efforts do not succeed?,3,
George W. Bush,"Well obviously we wouldnt use the Russians if they didnt agree with our answer, Mr. Vice President.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,They donâ€™t.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"Let me say this to you, I wouldnt use force. I wouldnt use force.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,You wouldnt use force?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,No.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,Why not?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,Its not in our national interest to use force in this case. I would use pressure and diplomacy. There is a difference with what the president did in Kosovo which I supported and this. Its up to the people in this region to take control of their country.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"New question. How would you go about as president deciding when it was in the national interest to use U. S. force, generally?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Well, if its in our vital national interests, and that means whether our territory is threatened or people could be harmed, whether or not the alliances are — our defense alliances are threatened, whether or not our friends in the Middle East are threatened. That would be a time to seriously consider the use of force. Secondly, whether or not the mission was clear. Whether or not it was a clear understanding as to what the mission would be. Thirdly, whether or not we were prepared and trained to win. Whether or not our forces were of high morale and high standing and well- equipped. And finally, whether or not there was an exit strategy. I would take the use of force very seriously. I would be guarded in my approach. I dont think we can be all things to all people in the world. I think weve got to be very careful when we commit our troops. The vice president and I have a disagreement about the use of troops. He believes in nation building. I would be very careful about using our troops as nation builders. I believe the role of the military is to fight and win war and therefore prevent war from happening in the first place. So I would take my responsibility seriously. And it starts with making sure we rebuild our military power. Morale in todays military is too low. Were having trouble meeting recruiting goals. We met the goals this year, but in the previous years we have not met recruiting goals. Some of our troops are not well- equipped. I believe were overextended in too many places. And therefore I want to rebuild the military power. It starts with a billion dollar pay raise for the men and women who wear the uniform. A billion dollars more than the president recently signed into law. Its to make sure our troops are well- housed and well- equipped. Bonus plans to keep some of our high- skilled folks in the services and a commander in chief who clearly sets the mission. The mission is to fight and win war and therefore prevent war from happening in the first place.",Pres,2000,2000-10-03,1,Under what circumstances should the United States consider using military force?,"New question. How would you go about as president deciding when it was in the national interest to use U. S. force, generally?",0.9410440922,0.9198961258,0.8085888624,0.6894465685,Republican,How would you decide when it was in the national interest to use U.S. force?,2,
Moderator,"Vice President Gore, one minute.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Let me tell you what Iâ€™ll do. First of all Â I want to make it clear, our military is the strongest, best- trained, best- equipped, best- led fighting force in the world and in the history of the world. Nobody should have any doubt about that, least of all our adversaries or potential adversaries. If you entrust me with the presidency, I will do whatever is necessary in order to make sure our forces stay the strongest in the world. In fact, in my ten- year budget proposal Ive set aside more than twice as much for this purpose as Governor Bush has in his proposal. Now, I think we should be reluctant to get involved in someplace in a foreign country. But if our national security is at stake, if we have allies, if weve tried every other course, if were sure military action will succeed, and if the costs are proportionate to the benefits, we should get involved. Now, just because we dont want to get involved everywhere doesnt mean we should back off anywhere it comes up. I disagree with the proposal that maybe only when oil supplies are at stake that our national security is at risk. I think that there are situations like in Bosnia or Kosovo where theres a genocide, where our national security is at stake there.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"I agree our military is the strongest in the world today, thats not the question. The question is will it be the strongest in the years to come? The warning signs are real. Everywhere I go on the campaign trail I see moms and dads whose son or daughter may wear the uniform and they tell me about how discouraged their son or daughter may be. A recent poll was taken among 1, 000 enlisted personnel, as well as officers, over half of whom will leave the service when their time of enlistment is up. The captains are leaving the service. There is a problem. And its going to require a new commander in chief to rebuild the military power. The other day I was honored to be flanked by Colin Powell and General Norman Schwartzkopf recently stood by me side and agreed with me. They said even if we are the strongest if we donâ€™t do something if we dont have a clear vision of the military, if we dont stop extending our troops all around the world and nation building missions, then were going to have a serious problem coming down the road, and Im going to prevent that. Im going to rebuild our military power. Its one of the major priorities of my administration.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"Vice President Gore, how should the voters go about deciding which one of you is better suited to make the kinds of decisions, whether its Milosevic or whatever, in the military and foreign policy area?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Well, they should look at our proposals and look at us as people and make up their own minds. When I was a young man, I volunteered for the Army. I served my country in Vietnam. My father was a senator who strongly opposed the Vietnam War. I went to college in this great city, and most of my peers felt against the war as I did. But I went anyway because I knew if I didnt, somebody else in the small town of Carthage, Tennessee, would have to go in my place. I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control. I served for eight years in the United States Senate and served on the Armed Services Committee. For the last eight years Ive served on the National Security Council, and when the conflict came up in Bosnia, I saw a genocide in the heart of Europe with the most violent war on the continent of Europe since World War II. Look, thats where World War I started in the Balkans. My uncle was a victim of poisonous gas there. Millions of Americans saw the results of that conflict. We have to be willing to make good, sound judgments. Incidentally, I know the value of making sure our troops have the latest technology. The governor has proposed skipping the next generation of weapons. I think thats a big mistake, because I think we have to stay at the cutting edge.",Pres,2000,2000-10-03,1,What qualifications and experiences does the speaker have to make informed judgments about military service and defense policy?,"Vice President Gore, how should the voters go about deciding which one of you is better suited to make the kinds of decisions, whether its Milosevic or whatever, in the military and foreign policy area?",0.9212025404,0.9264401197,0.8302773237,0.5079983473,Democratic,How should voters decide which candidate is better suited for military and foreign policy decisions?,3,
Moderator,"Governor, how would you advise the voters to make the decision on this issue?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"I think youve got to look at how one has handled responsibility in office. Whether or not its — the same in domestic policy as well. Whether or not you have the capacity to convince people to follow? Whether or not one makes decisions based on sound principles or whether or not you rely upon polls and focus groups on how to decide what the course of action is. We have too much polling and focus groups going on in Washington today. We need decisions made on sound principles. Ive been the governor of a big state. I think one of the hallmarks of my relationship in Austin, Texas, is that Ive had the capacity to work with both Republicans and Democrats. I think thats an important part of leadership. I think what it means to build consensus. Ive shown I know how to do so. Tonight in the audience theres one elected state senator who is a Democrat, a former state- wide officer who is a Democrat, a lot of Democrats who are here in the debate to — because they want to show their support that shows I know how to lead. And so the fundamental answer to your question, who can lead and whos shown the ability to get things done?",Pres,2000,2000-10-03,1,What qualities and experiences demonstrate a candidate's ability to lead effectively?,"Governor, how would you advise the voters to make the decision on this issue?",0.8609155416,0.8960549235,0.645275712,0.2108330578,Republican,How would you advise the voters to make the decision on this issue?,3,
Al Gore,If I could say one thing.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,We are way over three- and- a- half minutes. Go ahead.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"One of the key points in foreign policy and national security policy is the need to re- establish the old- fashioned principle that politics ought to stop at the waters edge. When I was in the United States Congress, I worked with former President Reagan to modernize our strategic weaponry and to pursue arms control in a responsible way. When I was in the United States Senate I worked with former President Bush, your father. I was one of only a few Democrats in the Senate to support the Persian Gulf War. I think bipartisanship is a national asset. We have to find ways to reestablish it in foreign policy and national security policy.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,Do you have a problem with that?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,Yeah. Why havent they done it in seven years?,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"New subject. New question. Should the voters of this election, Vice President Gore, see this in the domestic area as a major choice between competing political philosophies?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"Oh, absolutely. This is a very important moment in the history of our country. Look, weve got the biggest surpluses in all of American history. The key question that has to be answered in this election is will we use that prosperity wisely in a way that benefits all of our people and doesnt go just to the few. Almost half of all the tax cut benefits, as I said under Governor Bushs plan, go to the wealthiest 1%. I think we have to make the right and responsible choices. I think we have to invest in education, protecting the environment, health care, a prescription drug benefit that goes to all seniors, not just to the poor, under Medicare, not relying on HMOs and insurance companies. I think that we have to help parents and strengthen families by dealing with the kind of inappropriate entertainment material that families are just heart sick that their children are exposed to. I think weve got to have welfare reform taken to the next stage. I think that we have got to balance the budget every single year, pay down the national debt and, in fact, under my proposal the national debt will be completely eliminated by the year 2012. I think we need to put Medicare and Social Security in a lockbox. The governor will not put Medicare in a lockbox. I dont think it should be used as a piggy bank for other programs. I think it needs to be moved out of the budget and protected. Ill veto anything that takes money out of Social Security or Medicare for anything other than Social Security or Medicare. Now, the priorities are just very different. Ill give you a couple of examples. For every new dollar that I propose for spending on health care, Governor Bush spends $3 for a tax cut for the wealthiest 1%. Now, for every dollar that I propose to spend on education, he spends $5 on a tax cut for the wealthiest 1%. Those are very clear differences.",Pres,2000,2000-10-03,1,How should the government allocate its budget to ensure prosperity benefits all citizens rather than just the wealthiest?,"New subject. New question. Should the voters of this election, Vice President Gore, see this in the domestic area as a major choice between competing political philosophies?",0.9190182686,0.9097238779,0.7349501848,0.1179640293,Democratic,Should the voters see this election as a major choice between competing political philosophies?,3,
Moderator,"Governor, one minute.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"The man is practicing fuzzy math again. Theres differences. Under Vice President Gores plan, he is going to grow the federal government in the largest increase since Lyndon Baines Johnson in 1965. Were talking about a massive government, folks. Were talking about adding to or increasing 200 programs, 20, 000 new bureaucrats. Imagine how many IRS agents it is going to take to be able to figure out his targeted tax cut for the middle class that excludes 50 million Americans. There is a huge difference in this campaign. He says hes going to give you tax cuts. 50 million of you wont receive it. He said in his speech he wants to make sure the right people get tax relief. Thats not the role of a president to decide right and wrong. Everybody who pays taxes ought to get tax relief. After my plan is in place, the wealthiest Americans will pay a higher percentage of taxes then they do today, the poorest of Americans, six million families, wont pay any tax at all. Its a huge difference. A difference between big exploding federal government that wants to think on your behalf and a plan that meets priorities and liberates working people to be able to make decisions on your own.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,"Let me just say, Jim, you havent heard the governor deny these numbers. Hes called them phony and fuzzy. The fact remains almost 30% of his proposed tax cut goes to — only to Americans that make more than $1 million per year. More money goes to the — can I have a rebuttal here?",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,I want to see if he buys that.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Let me tell you what the facts are. The facts are after my plan, the wealthiest of Americans pay more taxes of the percentage of the whole than they do today. Secondly, if youre a family of four making $50, 000 in Massachusetts, you get a 50% tax cut. Let me give you one example. The Strunk family in Allentown, Pennsylvania, I campaigned with them the other day. They make $51, 000 combined income, they pay about $3500 in taxes. Under my plan, they get $1800 of tax relief. Under Vice President Gores plan, they get $145 of tax relief. Now you tell me who stands on the side of the fence. You ask the Strunks whose plan makes more sense. There is a difference of opinion. He would rather spend the familys $1800 and I would rather the Strunks spend their own money.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,Do you see it that way Mr. Vice President?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"No, I dont, and Im not going to go to calling names on his facts. Im just gonna tell you what the real facts are. The analysis that hes talking about leaves out more than half of the tax cuts that I have proposed. And if you just add the numbers up, he still hasnt denied it, he spends more money on a tax cut for the wealthiest 1% than all his new proposals for prescription drugs, healthcare, education, and national defense combined. Now those are the wrong priorities. $665 billion over ten years for the wealthiest 1%. As I said, almost 30% of it goes to Americans that make more than $1 million per year. Every middle class family is eligible for a tax cut under my proposal. Let me give you some specific examples. I believe college tuition up to $10, 000 per year ought to be tax deductible so middle- class families can choose to send their children to college. I believe all senior citizens should be able to choose their own doctors and get prescription drugs from their own pharmacists with Medicare paying half the bill. I believe parents ought to be able to make more choices need more public and charter school choice to send their kids always to a safe school. We need to make education the number one priority in our country and treat teachers like the professionals that they are. And thats why I have made it a number one priority in my budget, not a tax cut for the wealthy.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,Let me talk about tax cuts one more time. This is a man whose plan excludes 50 million Americans.,Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,Not so.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"Take for example the marriage penalty. If you itemize your tax return, you get no marriage penalty relief. He picks and chooses. He decides who the right people are. Its a fundamental difference of opinion. I want my fellow Americans to hear one more time. Well spend $25 trillion — well collect $25 trillion in revenue in the next 10 years and spend $21 trillion. Surely we can send 5% back to you that pay the bills. Thereâ€™s a problem wait. I want to say something, Jim. This man has been disparaging my plan with all this Washington fuzzy math. I want you to hear a problem weâ€™ve got here in the USA. If youre a single mother making $22, 000 a year and you have two children, under this tax code, for every additional dollar you make, you pay a higher marginal rate on that dollar than someone making more than $200, 000 a year, and that is not right. My plan drops the rate from 15% to 10% and increases the child credit from $500 to $1, 000 to make the code more fair for everybody, not just a few, not just a handful. Everybody who pays taxes ought to get some relief.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"Having cleared that up, were going to a new question. Education. Governor Bush. Both of you have promised dramatically to change — to change dramatically public education in this country. Of the public money spent on education, only 6% of that is federal money. You want to change 100% of the public education with 6% of the money, is that possible?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"We can make a huge difference by saying if you receive federal money we expect you to show results. Let me give you a story about public education, if I might. Its about Kipp Academy in Houston, Texas. A charter school run by some people from Teach For America. Young folks saying Im going to do something good for my country. I want to teach. A guy named Michael runs the school. It is a school full of so- called at- risk children. Its how we unfortunately label certain children. Basically it means they cant learn. Its a school of strong discipline and high standards. Its one of the best schools in Houston. Here are the key ingredients. High expectations, strong accountabily. What Michael says, dont put all these rules on us, just let us teach and hold us accountable for every grade. Thats what we do. And as a result, these mainly Hispanic youngsters are some of the best learners in Houston, Texas. Thats my vision for public education all around America. Many of you viewers dont know, but Laura and I sent our girls to public school. They went to Austin High School. And many of the public schools are meeting the call. But, unfortunately, a lot of schools are trapping children in schools that just wont teach and wont change. Here is the role of the federal government. One is to change Head Start to a reading program. Two is to say if you want to access reading money, you can do so. The goal is for every single child to learn to Read. there must by K- 2 diagnostic teaching tools, teacher training money, available. Three, we have to consolidate the federal programs to free districts to free the schools and encourage innovators like Michael. Let them reach out beyond the confines of the current structure to recruit teach- for- the- children type teachers. Four, were going to say if you receive federal money, measure third, fourth, fifth, sixth, seventh and eighth grade. Show us if they are learning to read, write, add and subtract and if so there will be bonus plans. But if not, instead of continuing to subsidize failure, the money will go to — the federal money will go to the parents for public school or charter school or tutorial or Catholic school. What I care about is children. And so does Michael Feinberg. And you know what? It can happen in America with the right kind of leadership.",Pres,2000,2000-10-03,1,What reforms are needed in public education to ensure accountability and improve student outcomes?,"Having cleared that up, were going to a new question. Education. Governor Bush. Both of you have promised dramatically to change — to change dramatically public education in this country. Of the public money spent on education, only 6% of that is federal money. You want to change 100% of the public education with 6% of the money, is that possible?",0.8222546577,0.9258342385,0.7425487638,0.4918242097,Republican,Is it possible to change 100% of public education with only 6% of the funding coming from the federal government?,3,
Al Gore,"We agree on a couple of things on education. I strongly support new accountability, so does Governor Bush. I strongly support local control, so does Governor Bush. Im in favor of testing as a way of measuring performance. Every school and every school district, have every state test the children. Ive also proposed a voluntary national test in the fourth grade and eighth grade, and a form of testing the governor has not endorsed. I think that all new teachers ought to be tested in the subjects that they teach. Weve got to recruit 100, 000 new teachers. And I have budgeted for that. Weve got to reduce the class size so that the student who walks in has more one- on- one time with the teacher. We ought to have universal pre- school and we ought to make college tuition tax deductible, up to $10, 000 a year. I would like to tell you a quick story. I got a letter today as I left Sarasota, Florida. Im here with a group of 13 people from around the country who helped me prepare. We had a great time. Two days ago we ate lunch at a restaurant. The guy that served us lunch gave me a letter today. His name is Randy Ellis. He has a 15- year- old daughter named Caley, who is in Sarasota High School. Her science class was supposed to be for 24 students. Shes the 36th student in that classroom. They sent me a picture of her in the classroom. They cant squeeze another desk in for her, so she has to stand during class. I want the federal government, consistent with local control and new accountability, to make improvement of our schools the number one priority so Caley will have a desk and can sit down in a classroom where she can learn.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"All right. So having heard the two of you, the voters have just heard the two of you, what is the difference? What is the choice between the two of you on education?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"The first is, the difference is there is no new accountability measures in Vice President Gores plan. He says hes for voluntary testing. You cant have voluntary testing. You must have mandatory testing. You must say that if you receive money you must show us whether or not children are learning to read and write and add and subtract. Thats the difference. You may claim youve got mandatory testing but you dont, Mr. Vice President. Thats a huge difference. Testing is the cornerstone of reform. You know how I know? Because its the cornerstone of reform in the State of Texas. Republicans and Democrats came together and said what can we do to make our public education the best in the country? Weve done a long way working together to do so. The cornerstone is to have strong accountability in return for money and in return for flexibility. Were going to ask you to show us whether or not — we ask you to post the results on the Internet. We encourage parents to take a look at the comparative results of schools. We have a strong charter school movement that I signed the legislation to get started in the State of Texas. I believe if we find poor children trapped in schools that wont teach, we need to free the parents. We need to expand education savings accounts. Something that the vice presidentâ€™s running mate supports. Theres big differences. He wont support freeing local districts from the strings of federal money.",Pres,2000,2000-10-03,1,What are the key differences between your education reform plan and Vice President Gore's plan regarding accountability measures?,"All right. So having heard the two of you, the voters have just heard the two of you, what is the difference? What is the choice between the two of you on education?",0.8542659283,0.9074763656,0.6974506974,0.4181069732,Republican,What is the choice between the two of you on education?,3,
Al Gore,"First of all, I do have mandatory testing. I think the governor may not have heard what I said clearly. The voluntary national testing is in addition to the mandatory testing that we require of states. All schools, all school districts, students themselves, and required teacher testing, which goes a step farther than Governor Bush has been willing to go. Here are a couple of differences, though, Jim. Governor Bush is in favor of vouchers which take taxpayer money away from public schools and give them to private schools that are not accountable for how the money is used and dont have to take all applicants. Now, private schools play a great role in our society. All of our children have gone to both public schools and private schools. But I dont think private schools should have a right to take taxpayer money away from public schools at a time when Caley Ellis is standing in that classroom. Let me give you another example. I went to a school in Dade County, Florida where the facilities are so overcrowded the children have to eat lunch in shifts with the first shift for lunch starting at 9 30 in the morning. Look, this is a funding crisis all around the country. There are fewer parents of school- age children as a percentage of the voting population and there is the largest generation of students ever. Were in an information age when learning is more important than ever. 90% of our kids go to public schools. We have to make it the number one priority. Modernize our schools, reduce class size, recruit new teachers, give every child a chance to learn with one- on- one time in a quality — high- quality, safe school. If its a failing school, shut it down and reopen it under a new principal with a turnaround team of specialists the way Governor Jim Hunt does in North Carolina. Here is another difference. The governor, if its a failing school, would leave the children in that failing school for three years and then give a little bit of money to the parents, a down payment on a down payment for private school tuition, and pretend that that would be enough for them to go out and go to a private school. Its an illusion.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"Wait a minute, Governor.",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Okay. First of all, most of good governance is at the state level. See, here is the mentality. Im going to make the state do this and make the state do that. All Im saying is if you spend money, show us results and test every year, which you do not do, Mr. Vice President. You dont test every year. You can say you do to the cameras but you dont, unless youve changed your plan here on the stage.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Al Gore,I didnt say that.,Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
George W. Bush,"You need to test every year. Thats how you determine if children are progressing to excellence. Secondly, one of the things that we have to be careful about in politics is throwing money at a system that has not yet been reformed. More money is needed and I spend more money, but step one is to make sure we reform the system to have the system in place that leaves no child behind. Stop this business about asking gosh, how old are you? If youre 10 well put you here, 12 you put here. Start asking the question, what do you know? If you dont know what youre supposed to know, well make sure you do early before its too late.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"New question. Weve been talking about a lot of specific issues. Its often said that in the final analysis about 90% of being the President of the United States is dealing with the unexpected, not with issues that came up in the campaign. Vice President Gore, can you point to a decision, an action you have taken, that illustrates your ability to handle the unexpected, the crisis under fire?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"When the action in Kosovo was dragging on and we were searching for a solution to the problem, our country had defeated the adversary on the battlefield without a single American life being lost in combat. But the dictator Milosevic was hanging on. I invited the former prime minister of Russia to my house and took a risk in asking him to get personally involved, along with the head of Finland, to go to Belgrade and to take a set of proposals from the United States that would constitute basically a surrender by Serbia. But it was a calculated risk that paid off. Now, I could probably give you some other examples of decisions over the last 24 years. I have been in public service for 24 years, Jim. And throughout all that time the people I have fought for have been the middle- class families, and I have been willing to stand up to powerful interests like the big insurance companies, the drug companies, the HMOs, the oil companies. They have good people and they play constructive roles sometimes, but sometimes they get too much power. I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the — the policies and the laws to their advantage. You can see it in this campaign. The big drug companies support Governor Bushs prescription drug proposal. They oppose mine because they dont want to get Medicare involved because theyre afraid that Medicare will negotiate lower prices for seniors who currently pay the highest prices of all.",Pres,2000,2000-10-03,1,What actions has the speaker taken to support middle-class families and challenge powerful interests over their years in public service?,"New question. Weve been talking about a lot of specific issues. Its often said that in the final analysis about 90% of being the President of the United States is dealing with the unexpected, not with issues that came up in the campaign. Vice President Gore, can you point to a decision, an action you have taken, that illustrates your ability to handle the unexpected, the crisis under fire?",0.8844230175,0.9233806729,0.7720608711,0.1625304967,Democratic,Can you point to a decision or action you have taken that illustrates your ability to handle the unexpected?,2,
Moderator,Governor Bush?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Ive been standing up to big Hollywood, big trial lawyers. Was â€“ what was the question? It was about emergencies, wasnt it?",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,It was about — okay.,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"You know, as governor, one of the things you have to deal with is catastrophe. I can remember the fires that swept Parker County, Texas. I remember the floods that swept our state. I remember going down to Del Rio, Texas. I have to pay the administration a compliment. James Lee Witt of FEMA has done a really good job of working with governors during times of crisis. But thats the time when youre tested not only — its the time to test your mettle, a time to test your heart when you see people whose lives have been turned upside down. It broke my heart to go to the flood scene in Del Rio where a fellow and his family got completely uprooted. The only thing I knew to do was to get aid as quickly as possible with state and federal help, and to put my arms around the man and his family and cry with them. Thats what governors do. They are often on the front line of catastrophic situations.",Pres,2000,2000-10-03,1,,,,,,,Republican,,,
Moderator,"New question. There can be all kinds of crises, Governor. A questions for you. There could be a crisis, for instance, in the financial area, the stock market could take a tumble, there could be a failure of a major financial institution. What is your general attitude toward government intervention in such events?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
George W. Bush,"Well, it depends, obviously. But what I would do first and foremost, is I would get in touch with the Federal Reserve Chairman, Alan Greenspan, to find out all the facts and all the circumstances. I would have my Secretary of the Treasury be in touch with the financial centers not only here, but at home. I would make sure that key members of Congress were called in to discuss the gravity of the situation. And I would come up with a game plan to deal with it. Thats what governors end up doing. We end up being problem solvers. We come up with practical, common sense solutions for problems that were confronted with. In this case, in the case of a financial crisis, I would gather all the facts before I made the decision as to what the government ought or ought not to do.",Pres,2000,2000-10-03,1,What actions should be taken by government leaders in response to a financial crisis?,"New question. There can be all kinds of crises, Governor. A questions for you. There could be a crisis, for instance, in the financial area, the stock market could take a tumble, there could be a failure of a major financial institution. What is your general attitude toward government intervention in such events?",0.9210528135,0.9405581355,0.8569904566,0.7471612692,Republican,What is your general attitude toward government intervention in financial crises?,3,
Moderator,Vice President Gore?,Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
Al Gore,"First I want to compliment the governor on his response to those fires and floods in Texas. I accompanied James Lee Witt down to Texas when those fires broke out. And FEMA has been a major flagship project of our reinventing government efforts. And I agree, it works extremely well now. On the international financial crises that come up, my friend, Bob Rubin, the former Secretary of Treasury is here, hes a close advisor to me and great friend in all respects. I have had a chance to work with him and Alan Greenspan and others on the crisis following the collapse of the Mexican peso. When the Asian financial crisis raised the risk of world- wide recession that could affect our economy, And now, of course, the euros value has been dropping, but seems to be under control. But it started for me in the last eight years when I had the honor of casting the tie- breaking vote to end the old economic plan here at home and put into place a new economic plan that has helped us to make some progress, 22 million new jobs, the greatest prosperity ever. But its not good enough. My attitude is you aint seen nothing yet. We need to do more and better.",Pres,2000,2000-10-03,1,,,,,,,Democratic,,,
Moderator,"So, Governor, would you agree there is no basic difference here on intervening — on federal government intervening in what might be seen by others to be a private financial crisis?",Pres,2000,2000-10-03,0,,,,,,,Moderator,,,
